Date,Bajaj Open,Bajaj High,Bajaj Low,Bajaj Close,Bajaj Adj Close,Bajaj Volume
5/25/2022,5839,5877.700195,5801.799805,5827.399902,5806.258789,867598
5/24/2022,5783,5833,5725,5798.799805,5777.762207,1084069
5/23/2022,5825,5906.25,5771.200195,5794,5772.97998,968021
5/20/2022,5840,5841.950195,5712,5769.600098,5748.668457,1098610
5/19/2022,5651,5745,5611,5707,5686.29541,1065025
5/18/2022,5889.950195,5956.700195,5790,5815.200195,5794.103027,1655094
5/17/2022,5660,5849,5652,5837.299805,5816.122559,1401770
5/16/2022,5575,5711.950195,5488,5645.399902,5624.918945,1414955
5/13/2022,5700,5749,5500,5515.75,5495.739258,2105315
5/12/2022,5750,5764.75,5505.899902,5593.399902,5573.107422,2494044
5/11/2022,5957,5996.600098,5737,5807,5785.932617,1861339
5/10/2022,6000,6113.049805,5900,5928.450195,5906.942383,1177933
5/9/2022,5961,6135.25,5832.549805,6036.950195,6015.048828,1935648
5/6/2022,6201,6205.049805,5975,6000.299805,5978.53125,3064865
5/5/2022,6400,6497.450195,6290,6309.450195,6286.560059,1486028
5/4/2022,6629.899902,6667.799805,6290,6339.75,6316.75,1649115
5/2/2022,6550,6649.850098,6525.5,6626.149902,6602.11084,1238741
4/29/2022,6800,6823.600098,6651,6671.799805,6647.595215,1337517
4/28/2022,6748,6805,6580,6727.649902,6703.242676,2499094
4/27/2022,7100,7100,6688.850098,6714.100098,6689.742188,3984357
4/26/2022,7131,7262.950195,7097,7240.549805,7214.281738,1012419
4/25/2022,7000,7074.950195,6950,7005.5,6980.084961,684953
4/22/2022,7080,7207,7071.399902,7110.75,7084.953125,807987
4/21/2022,7099,7187,7047.299805,7138.100098,7112.203613,875343
4/20/2022,7274.950195,7294.700195,6960,7032.5,7006.986816,1558181
4/19/2022,7300,7443.299805,7151,7259.549805,7233.212891,1191110
4/18/2022,7265.5,7375,7231.600098,7261.450195,7235.106445,758222
4/13/2022,7313,7380,7282.049805,7328.450195,7301.863281,672317
4/12/2022,7299.950195,7299.950195,7220,7274.5,7248.108887,805598
4/11/2022,7345.049805,7384,7295,7336.649902,7310.033203,597508
4/8/2022,7328.299805,7425,7260,7366.600098,7339.875,881973
4/7/2022,7310,7356,7270,7290.200195,7263.751953,718266
4/6/2022,7350,7425,7300,7346.950195,7320.296387,767031
4/5/2022,7435,7479.950195,7330,7388.450195,7361.645508,1072082
4/4/2022,7449,7590.899902,7430,7490.649902,7463.474609,1049759
4/1/2022,7229.950195,7449,7220.299805,7408.100098,7381.224121,871513
3/31/2022,7287.950195,7445,7240.649902,7259.950195,7233.611816,1633011
3/30/2022,7100,7274.450195,7099,7251.850098,7225.541016,1272254
3/29/2022,7040,7060,6984.5,7039.350098,7013.812012,715950
3/28/2022,6990,7035,6870,7001.399902,6975.999512,936973
